Transcript/RepeatID (cmd=analyzeRepeats.pl rna hg19 -count pausing -condenseGenes -norm 1e6 -d /research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Pausing Ratio	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Promoter Reads (-50,200)	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ GeneBody Reads (200,5000)
NR_104179	chr19	12305780	12310830	+	250.0	1	LOC100289333|-|-|19p13.2|ncRNA	2.147	0.316	1.476
NM_001304341	chr9	6757300	6762350	+	250.0	1	KDM4C|GASC1|JHDM3C|JMJD2C|TDRD14C|-|9p24.1|protein-coding	2.514	0.738	4.111
NM_014412	chr1	174969033	174974083	+	250.0	1	CACYBP|GIG5|PNAS-107|S100A6BP|SIP|-|1q25.1|protein-coding	7.222	4.111	8.750
NM_001301058	chr7	73148197	73153247	-	250.0	1	ABHD11|PP1226|WBSCR21|-|7q11.23|protein-coding	2.236	0.949	6.747
NM_181704	chr21	11093925	11098975	-	250.0	1	BAGE4|CT2.4|MLL3P|-|21p11.1|protein-coding	1.000	0.000	0.000
NM_001323576	chr16	19535214	19540264	+	250.0	1	CCP110|CP110|Cep110|-|16p12.3|protein-coding	4.038	1.265	4.111
NM_001242483	chr11	65764628	65769678	-	250.0	1	EIF1AD|OBELIX|haponin|-|11q13.1|protein-coding	4.006	3.057	12.756
NR_126530	chr19	51888845	51893895	-	250.0	1	C19orf84|-|-|19q13.41|protein-coding	1.800	0.105	0.000
NM_198935	chr20	60718775	60723825	+	250.0	1	SS18L1|CREST|LP2261|-|20q13.33|protein-coding	3.042	1.054	4.955
NM_001322028	chr14	76618215	76623265	+	250.0	1	GPATCH2L|C14orf118|-|14q24.3|protein-coding	4.376	2.319	8.223
NM_021823	chr15	75315881	75320931	+	250.0	1	PPCDC|MDS018|PPC-DC|coaC|-|15q24.2|protein-coding	3.845	3.584	16.024
NR_134324	chr7	174870	179920	+	250.0	1	LOC105375115|-|-|7p22.3|ncRNA	1.000	0.000	0.000
NR_034010	chr4	119199867	119204917	+	250.0	1	SNHG8|LINC00060|NCRNA00060|-|4q26|ncRNA	2.652	10.542	74.743
NM_020374	chr12	4642635	4647685	-	250.0	1	C12orf4|-|-|12p13.32|protein-coding	2.500	0.527	2.530
NM_022828	chr5	112849341	112854391	+	250.0	1	YTHDC2|CAHL|hYTHDC2|-|5q22.2|protein-coding	8.345	2.846	4.322
NM_017653	chr18	46982015	46987065	-	250.0	1	DYM|DMC|SMC|-|18q21.1|protein-coding	7.200	1.687	2.319
NM_001346720	chr7	94280445	94285495	-	250.0	1	SGCE|DYT11|ESG|epsilon-SG|-|7q21.3|protein-coding	1.271	0.105	1.054
NM_001284226	chr8	27950534	27955584	+	250.0	1	ELP3|KAT9|-|8p21.1|protein-coding	3.624	0.843	2.636
NM_152361	chr19	40018492	40023542	-	250.0	1	EID2B|EID-2B|EID-3|-|19q13.2|protein-coding	5.370	2.846	8.117
NR_110644	chr2	171627142	171632192	+	250.0	1	ERICH2|-|-|2q31.1|protein-coding	4.281	0.738	1.370
NM_001363784	chr6	39285744	39290794	-	250.0	1	KCNK16|K2p16.1|TALK-1|TALK1|-|6p21.2|protein-coding	1.000	0.000	0.000
NM_001289112	chr3	131751648	131756698	-	250.0	1	CPNE4|COPN4|CPN4|-|3q22.1|protein-coding	1.000	0.000	0.000
NR_048569	chr12	100594543	100599593	+	250.0	1	ACTR6|ARP6|CDA12|HSPC281|MSTP136|hARP6|hARPX|-|12q23.1|protein-coding	7.971	2.319	3.373
NR_135301	chr3	50188518	50193568	-	250.0	1	SEMA3F-AS1|RBM5-AS1|-|3p21.31|ncRNA	0.632	0.000	1.476
NR_021492	chr22	51021405	51026455	+	250.0	1	CHKB-DT|CHKB-AS1|-|22q13.33|ncRNA	3.141	2.214	11.807
NM_181506	chr5	61874596	61879646	+	250.0	1	LRRC70|SLRN|-|5q12.1|protein-coding	0.706	0.000	1.054
NM_001297621	chr1	23665777	23670827	-	250.0	1	HNRNPR|HNRPR|hnRNP-R|-|1p36.12|protein-coding	4.729	3.373	11.702
NM_001366310	chr6	117002324	117007374	+	250.0	1	KPNA5|IPOA6|SRP6|-|6q22.1|protein-coding	2.772	0.949	4.955
NM_001352168	chr12	49499683	49504733	-	250.0	1	LMBR1L|LIMR|-|12q13.12|protein-coding	3.510	1.160	4.533
NM_001280801	chr5	179493759	179498809	-	250.0	1	RNF130|G1RZFP|GOLIATH|GP|-|5q35.3|protein-coding	3.914	1.265	4.322
NR_003362	chr15	25514880	25519930	+	250.0	1	SNORD115-48|HBII-52-48|-|15q11.2|snoRNA	0.960	0.000	0.105
NM_001323041	chr1	114297162	114302212	-	250.0	1	PHTF1|PHTF|-|1p13.2|protein-coding	4.463	1.265	3.479
NR_148469	chr14	74764637	74769687	-	250.0	1	ABCD4|ABC41|EST352188|MAHCJ|P70R|P79R|PMP69|PXMP1L|-|14q24.3|protein-coding	2.279	2.108	16.340
NM_001369381	chr11	3008559	3013609	-	250.0	1	NAP1L4|NAP1L4b|NAP2|NAP2L|hNAP2|-|11p15.4|protein-coding	2.579	2.530	17.289
NM_001286279	chr13	113237499	113242549	-	250.0	1	TUBGCP3|104p|ALP6|GCP3|Grip104|SPBC98|Spc98|Spc98p|-|13q34|protein-coding	5.137	1.476	3.479
NM_001037304	chr11	134118246	134123296	-	250.0	1	THYN1|HSPC144|MDS012|MY105|THY28|THY28KD|-|11q25|protein-coding	5.988	3.057	7.696
NM_001346223	chr22	37566096	37571146	-	250.0	1	IL2RB|CD122|IL15RB|P70-75|-|22q12.3|protein-coding	1.728	0.105	0.105
NM_203405	chr21	31687633	31692683	-	250.0	1	KRTAP26-1|-|-|21q22.11|protein-coding	1.000	0.000	0.000
NM_001304418	chr3	69166746	69171796	-	250.0	1	LMOD3|NEM10|-|3p14.1|protein-coding	1.000	0.000	0.000
NR_126511	chr2	74751833	74756883	-	250.0	1	AUP1|-|-|2p13.1|protein-coding	2.578	5.798	41.641
NM_001329775	chr19	37808734	37813784	+	250.0	1	ZNF875|HKR1|-|19q13.12|protein-coding	6.720	1.160	1.160
NR_034031	chrX	3756935	3761985	-	250.0	1	LOC389906|-|-|Xp22.33|pseudo	0.923	0.000	0.211
NM_001370357	chr11	124746660	124751710	+	250.0	1	ROBO3|HGPPS|HGPPS1|HGPS|RBIG1|RIG1|-|11q24.2|protein-coding	3.042	1.054	4.955
NM_014394	chr10	85899215	85904265	+	250.0	1	GHITM|DERP2|HSPC282|MICS1|My021|PTD010|TMBIM5|-|10q23.1|protein-coding	3.543	2.319	10.753
NM_001354622	chr3	37034791	37039841	+	250.0	1	MLH1|COCA2|FCC2|HNPCC|HNPCC2|hMLH1|-|3p22.2|protein-coding	1.000	0.000	0.000
NR_147234	chr3	59030751	59035801	-	250.0	1	C3orf67|-|-|3p14.2|protein-coding	7.964	1.792	2.108
NR_039981	chr7	104626612	104631662	-	250.0	1	LINC01004|-|-|7q22.3|ncRNA	1.406	0.633	7.907
NR_134633	chr6	86109520	86114570	-	250.0	1	LINC02535|-|-|6q14.3|ncRNA	1.000	0.000	0.000
NM_001243985	chr11	65425443	65430493	-	250.0	1	RELA|CMCU|NFKB3|p65|-|11q13.1|protein-coding	3.067	1.687	8.855
NM_001014342	chr1	152327482	152332532	-	250.0	1	FLG2|IFPS|PSS6|-|1q21.3|protein-coding	1.000	0.000	0.000
NM_001314042	chr1	202773598	202778648	-	250.0	1	KDM5B|CT31|JARID1B|MRT65|PLU-1|PLU1|PPP1R98|PUT1|RBBP2H1A|RBP2-H1|-|1q32.1|protein-coding	0.253	0.000	7.485
NM_000191	chr1	24146919	24151969	-	250.0	1	HMGCL|HL|-|1p36.11|protein-coding	5.280	1.898	4.849
NR_039678	chr7	137808454	137813504	+	250.0	1	MIR4468|-|-|7q33|ncRNA	1.000	0.000	0.000
NM_016519	chr4	71457923	71462973	+	250.0	1	AMBN|AI1F|-|4q13.3|protein-coding	0.960	0.000	0.105
NR_046505	chrY	6224454	6229504	-	250.0	1	LINC00280|NCRNA00280|-|Yp11.2|ncRNA	1.000	0.000	0.000
NR_132393	chr9	122697288	122702338	+	250.0	1	LINC01613|n341773|-|9q33.2|ncRNA	1.000	0.000	0.000
NM_198156	chr3	10183412	10188462	+	250.0	1	VHL|HRCA1|RCA1|VHL1|pVHL|-|3p25.3|protein-coding	3.903	4.111	18.343
NR_109848	chr1	19638770	19643820	+	250.0	1	SLC66A1|LAAT-1|LAAT1|PQLC2|-|1p36.13|protein-coding	3.145	1.370	6.641
NM_000948	chr6	22292265	22297315	-	250.0	1	PRL|GHA1|-|6p22.3|protein-coding	1.000	0.000	0.000
NM_001278341	chr12	49956928	49961978	-	250.0	1	MCRS1|ICP22BP|INO80Q|MCRS2|MSP58|P78|-|12q13.12|protein-coding	3.527	2.425	11.385
NR_130460	chr8	77874086	77879136	-	250.0	1	MIR3149|-|-|8q21.13|ncRNA	0.923	0.000	0.211
NM_001330727	chr4	83956286	83961336	+	250.0	1	COPS4|CSN4|SGN4|-|4q21.22|protein-coding	4.386	1.265	3.584
NM_001321812	chr14	68290208	68295258	+	250.0	1	RAD51B|R51H2|RAD51L1|REC2|-|14q24.1|protein-coding	2.800	0.422	1.265
NM_020208	chr3	45833028	45838078	-	250.0	1	SLC6A20|SIT1|XT3|Xtrp3|-|3p21.31|protein-coding	1.000	0.000	0.000
NM_001287212	chr1	21039500	21044550	-	250.0	1	KIF17|KIF17B|KIF3X|KLP-2|OSM-3|-|1p36.12|protein-coding	1.418	0.211	2.108
NM_001017366	chr1	207262155	207267205	+	250.0	1	C4BPB|C4BP|-|1q32.1|protein-coding	1.000	0.000	0.000
NM_174977	chr22	30896682	30901732	-	250.0	1	SEC14L4|TAP3|-|22q12.2|protein-coding	0.857	0.000	0.422
NM_173547	chr17	73888032	73893082	-	250.0	1	TRIM65|4732463G12Rik|-|17q25.1|protein-coding	1.412	1.581	20.768
NM_000389	chr6	36646441	36651491	+	250.0	1	CDKN1A|CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1|-|6p21.2|protein-coding	3.480	0.633	1.687
NM_001363778	chr17	76164576	76169626	+	250.0	1	SYNGR2|-|-|17q25.3|protein-coding	3.174	5.271	30.150
NM_020425	chr6	88032256	88037306	+	250.0	1	SMIM8|C6orf162|dJ102H19.2|-|6q15|protein-coding	4.800	0.738	0.949
NR_149109	chr11	13887163	13892213	-	250.0	1	LINC02545|-|-|11p15.2|ncRNA	1.000	0.000	0.000
NR_134475	chr5	52856419	52861469	+	250.0	1	NDUFS4|AQDQ|CI-18|CI-18 kDa|CI-AQDQ|MC1DN1|-|5q11.2|protein-coding	7.300	1.792	2.530
NM_001365213	chr1	173793761	173798811	+	250.0	1	DARS2|ASPRS|LBSL|MT-ASPRS|mtAspRS|-|1q25.1|protein-coding	5.098	3.479	11.069
NR_135268	chr1	156386564	156391614	-	250.0	1	C1orf61|CROC4|-|1q22|protein-coding	4.084	1.370	4.533
NM_001362760	chr7	23566600	23571650	-	250.0	1	TRA2A|AWMS1|HSU53209|-|7p15.3|protein-coding	6.279	7.590	21.084
NM_001303037	chr7	24613021	24618071	+	250.0	1	MPP6|PALS2|VAM-1|VAM1|p55T|-|7p15.3|protein-coding	6.094	2.846	6.852
NR_039767	chr9	130548062	130553112	+	250.0	1	MIR3960|-|-|9q34.11|ncRNA	0.273	0.105	14.126
NM_001320135	chr15	88744205	88749255	-	250.0	1	NTRK3|GP145-TrkC|TRKC|gp145(trkC)|-|15q25.3|protein-coding	1.000	0.000	0.000
NM_001171796	chr8	93973372	93978422	-	250.0	1	TRIQK|C8orf83|PRO0845|UPF0599|-|8q22.1|protein-coding	3.977	0.633	1.160
NM_001346050	chr5	180683144	180688194	-	250.0	1	TRIM52|RNF102|-|5q35.3|protein-coding	1.225	1.160	17.711
NM_001320777	chr19	58740230	58745280	+	250.0	1	ZNF544|-|-|19q13.43|protein-coding	0.923	0.000	0.211
NM_005078	chr15	70385256	70390306	-	250.0	1	TLE3|ESG|ESG3|GRG3|HsT18976|-|15q23|protein-coding	5.022	4.639	15.708
NR_147008	chr5	33229791	33234841	+	250.0	1	LINC02160|-|-|5p13.3|ncRNA	1.000	0.000	0.000
NR_136148	chr10	44407800	44412850	+	250.0	1	LINC00841|-|-|10q11.21|ncRNA	1.000	0.000	0.000
NM_001172675	chr19	53657306	53662356	-	250.0	1	ZNF347|ZNF1111|-|19q13.42|protein-coding	1.000	0.000	0.000
NM_001349931	chr1	179841938	179846988	-	250.0	1	TOR1AIP2|IFRG15|LULL1|NET9|-|1q25.2|protein-coding	11.467	7.801	10.753
NM_001350198	chr1	93245665	93250715	-	250.0	1	EVI5|EVI-5|NB4S|-|1p22.1|protein-coding	4.588	1.581	4.639
NR_135655	chrX	129936560	129941610	+	250.0	1	LOC105373338|-|-|Xq26.1|ncRNA	1.543	0.105	0.422
NM_001130478	chr8	144237071	144242121	-	250.0	1	LY6H|NMLY6|-|8q24.3|protein-coding	0.923	0.000	0.211
NM_022734	chr14	21458089	21463139	+	250.0	1	METTL17|METT11D1|-|14q11.2|protein-coding	3.404	2.952	14.864
NM_001297772	chr1	167878372	167883422	-	250.0	1	ADCY10|HCA2|HEL-S-7a|SAC|SACI|Sacy|hsAC|-|1q24.2|protein-coding	1.168	0.105	1.370
NM_198273	chr5	89820401	89825451	-	250.0	1	LYSMD3|-|-|5q14.3|protein-coding	3.856	1.160	3.901
NR_134451	chr10	100206028	100211078	+	250.0	1	LOC101927278|-|-|10q24.2|ncRNA	2.880	0.738	3.268
NM_017503	chr9	136223376	136228426	+	250.0	1	SURF2|SURF-2|-|9q34.2|protein-coding	1.448	1.370	17.394
NR_126050	chr9	44401720	44406770	+	250.0	2	LOC103908605|-|-|9p11.1|ncRNA	2.496	0.211	0.105
NM_012238	chr10	69644364	69649414	+	250.0	1	SIRT1|SIR2|SIR2L1|SIR2alpha|-|10q21.3|protein-coding	5.727	2.636	6.747
NM_198856	chr22	44203185	44208235	-	250.0	1	EFCAB6|DJBP|HSCBCIP1|dJ185D5.1|-|22q13.2-q13.31|protein-coding	0.615	0.000	1.581
NM_181656	chr17	65984722	65989772	-	250.0	1	C17orf58|-|-|17q24.2|protein-coding	2.476	1.160	7.485
NM_001301029	chr11	113741294	113746344	-	250.0	1	USP28|-|-|11q23.2|protein-coding	2.651	0.843	4.533
NM_001358689	chr18	44557	49607	-	250.0	1	TUBB8P12|-|-|18p11.32|protein-coding	1.000	0.000	0.000
NM_001366371	chr6	52144540	52149590	-	250.0	1	MCM3|HCC5|P1-MCM3|P1.h|RLFB|-|6p12.2|protein-coding	4.519	5.376	20.873
NM_001253387	chr3	238229	243279	+	250.0	1	CHL1|CALL|L1CAM2|-|3p26.3|protein-coding	1.000	0.000	0.000
NR_037946	chr11	62489856	62494906	-	250.0	1	HNRNPUL2-BSCL2|-|-|11q12.3|ncRNA	1.608	1.581	17.921
NM_001349759	chr1	109234882	109239932	+	250.0	1	PRPF38B|NET1|-|1p13.3|protein-coding	3.498	3.268	16.129
NM_000891	chr17	68165626	68170676	+	250.0	1	KCNJ2|ATFB9|HHBIRK1|HHIRK1|IRK1|KIR2.1|LQT7|SQT3|-|17q24.3|protein-coding	10.944	1.370	0.105
NM_138798	chr2	99792521	99797571	-	250.0	1	MITD1|-|-|2q11.2|protein-coding	8.000	1.581	1.581
NM_001350331	chr17	17870714	17875764	-	250.0	1	TOM1L2|-|-|17p11.2|protein-coding	1.881	0.633	5.271
NM_001112808	chr1	74663846	74668896	+	250.0	1	FPGT-TNNI3K|CARK|TNNI3K|-|1p31.1|protein-coding	9.509	2.636	3.057
NM_001547	chr10	91061753	91066803	+	250.0	1	IFIT2|G10P2|GARG-39|IFI-54|IFI-54K|IFI54|IFIT-2|ISG-54 K|ISG-54K|ISG54|P54|cig42|-|10q23.31|protein-coding	0.923	0.000	0.211
NR_107049	chr4	114073388	114078438	+	250.0	1	MIR8082|hsa-mir-8082|-|4q25|ncRNA	0.960	0.000	0.105
NR_104118	chr13	19479529	19484579	+	250.0	1	LINC00408|-|-|13q12.11|ncRNA	1.000	0.000	0.000
NM_017410	chr12	54332565	54337615	+	250.0	1	HOXC13|ECTD9|HOX3|HOX3G|-|12q13.13|protein-coding	2.433	0.843	5.166
NR_106727	chr1	44304244	44309294	+	250.0	1	MIR6079|hsa-mir-6079|-|1p34.1|ncRNA	1.898	0.316	2.003
NM_001098612	chr19	52145132	52150182	-	250.0	1	SIGLEC14|-|-|19q13.41|protein-coding	1.000	0.000	0.000
NM_001322059	chr7	32462836	32467886	-	250.0	1	PDE1C|DFNA74|Hcam3|cam-PDE 1C|hCam-3|-|7p14.3|protein-coding	1.000	0.000	0.000
NM_032949	chr13	53417775	53422825	-	250.0	1	PCDH8|ARCADLIN|PAPC|-|13q14.3|protein-coding	1.662	0.105	0.211
NM_001277303	chr15	21066643	21071693	-	250.0	2	POTEB2|POTE-15|POTEB|-|15q11.2|protein-coding	1.000	0.000	0.000
NR_135671	chr17	35288960	35294010	-	250.0	1	LHX1-DT|-|-|17q12|ncRNA	1.054	0.105	1.792
NM_012201	chr16	74636012	74641062	-	250.0	1	GLG1|CFR-1|ESL-1|MG-160|MG160|-|16q23.1|protein-coding	8.073	4.744	9.066
NM_001135168	chr17	19643772	19648822	-	250.0	1	ALDH3A1|ALDH3|ALDHIII|-|17p11.2|protein-coding	1.224	0.211	2.846
NM_172213	chr2	87084009	87089059	-	250.0	1	CD8B|CD8B1|LEU2|LY3|LYT3|P37|-|2p11.2|protein-coding	1.000	0.000	0.000
NM_005988	chr1	153024988	153030038	-	250.0	1	SPRR2A|-|-|1q21.3|protein-coding	1.000	0.000	0.000
NM_001206673	chr14	51338721	51343771	+	250.0	1	ABHD12B|BEM46L3|C14orf29|c14_5314|-|14q22.1|protein-coding	0.828	0.000	0.527
NM_001012478	chr19	56165366	56170416	+	250.0	1	U2AF2|U2AF65|-|19q13.42|protein-coding	2.549	3.690	26.250
NM_032025	chr3	150264524	150269574	+	250.0	1	EIF2A|CDA02|EIF-2A|MST089|MSTP004|MSTP089|-|3q25.1|protein-coding	3.986	1.160	3.690
NM_020737	chr6	40550103	40555153	-	250.0	1	LRFN2|FIGLER2|KIAA1246|SALM1|-|6p21.2-p21.1|protein-coding	1.394	0.105	0.738
NM_003614	chr22	38219339	38224389	+	250.0	1	GALR3|-|-|22q13.1|protein-coding	1.522	0.211	1.792
NM_004475	chr17	27219751	27224801	-	250.0	1	FLOT2|ECS-1|ECS1|ESA|ESA1|M17S1|-|17q11.2|protein-coding	2.094	0.949	7.379
NM_005268	chr1	35220598	35225648	+	250.0	1	GJB5|CX31.1|-|1p34.3|protein-coding	1.000	0.000	0.000
NR_001434	chr6	29855300	29860350	+	250.0	8	HLA-H|HLAHP|-|6p22.1|pseudo	1.000	0.000	0.000
NM_001046	chr5	127419408	127424458	+	250.0	1	SLC12A2|BSC|BSC2|NKCC1|PPP1R141|-|5q23.3|protein-coding	10.780	3.479	3.901
NM_006148	chr17	37026261	37031311	+	250.0	1	LASP1|Lasp-1|MLN50|-|17q12|protein-coding	6.353	1.054	1.054
NM_001366582	chr1	24969743	24974793	+	250.0	1	SRRM1|160-KD|POP101|SRM160|-|1p36.11|protein-coding	8.463	5.166	9.488
NM_001007532	chr17_ctg5_hap1	786133	791183	-	250.0	2	STH|MAPTIT|-|17q21.31|protein-coding	1.000	0.000	0.000
NM_001912	chr9	90340984	90346034	+	250.0	1	CTSL|CATL|CTSL1|MEP|-|9q21.33|protein-coding	1.611	1.160	12.861
NM_198581	chr2	113033124	113038174	+	250.0	1	ZC3H6|ZC3HDC6|-|2q14.1|protein-coding	7.389	2.952	5.482
NM_005655	chr8	103662953	103668003	-	250.0	1	KLF10|EGR-alpha|EGRA|TIEG|TIEG1|-|8q22.3|protein-coding	4.485	1.370	3.901
NM_001269055	chr20	56095196	56100246	-	250.0	1	CTCFL|BORIS|CT27|CTCF-T|HMGB1L1|dJ579F20.2|-|20q13.31|protein-coding	1.000	0.000	0.000
NM_001168618	chr11	118431791	118436841	-	250.0	1	IFT46|C11orf2|C11orf60|CFAP32|-|11q23.3|protein-coding	4.333	1.581	5.060
NR_015424	chr2	89065369	89070419	+	250.0	1	ANKRD36BP2|-|-|2p11.2|pseudo	0.923	0.000	0.211
NM_178233	chr17	72931847	72936897	+	250.0	1	OTOP3|-|-|17q25.1|protein-coding	0.960	0.000	0.105
NM_001321625	chr2	201931394	201936444	-	250.0	1	FAM126B|HYCC2|-|2q33.1|protein-coding	6.800	2.108	3.795
NR_135078	chr1	100598656	100603706	+	250.0	1	TRMT13|CCDC76|-|1p21.2|protein-coding	7.642	3.057	5.482
NM_001025265	chrX	70321590	70326640	-	250.0	1	CXorf65|-|-|Xq13.1|protein-coding	0.585	0.000	1.792
NR_038357	chr10	75556157	75561207	-	250.0	1	ZSWIM8-AS1|-|-|10q22.2|ncRNA	1.272	1.265	18.554
NM_001324401	chr7	116312200	116317250	+	250.0	1	MET|AUTS9|DFNB97|HGFR|RCCP2|c-Met|-|7q31.2|protein-coding	1.891	0.211	0.949
NM_006991	chr3	44666478	44671528	+	250.0	1	ZNF197|D3S1363E|P18|VHLaK|ZKSCAN9|ZNF166|ZNF20|ZSCAN41|-|3p21.31|protein-coding	3.957	1.476	5.271
NM_001317027	chr19	58441770	58446820	-	250.0	1	ZNF418|-|-|19q13.43|protein-coding	0.857	0.000	0.422
NR_047003	chr13	61247039	61252089	+	250.0	1	LINC00378|-|-|13q21.2|ncRNA	1.000	0.000	0.000
NM_001293167	chr11	797461	802511	+	250.0	1	PANO1|PANO|-|11p15.5|protein-coding	0.591	0.527	18.870
NM_001286764	chr13	46956387	46961437	-	250.0	1	RUBCNL|C13orf18|KIAA0226L|PACER|-|13q14.13|protein-coding	1.394	0.105	0.738
NR_108089	chr7	36134870	36139920	+	250.0	1	LOC101928618|-|-|7p14.2|ncRNA	1.000	0.000	0.000
NM_001201576	chr17	7292844	7297894	-	250.0	1	PLSCR3|-|-|17p13.1|protein-coding	1.183	0.316	4.744
NM_001258398	chr17	42977047	42982097	+	250.0	1	CCDC103|CILD17|PR46b|SMH|-|17q21.31|protein-coding	2.449	0.527	2.636
NM_198385	chr17	48638026	48643076	+	250.0	1	CACNA1G|Ca(V)T.1|Cav3.1|NBR13|SCA42|SCA42ND|-|17q21.33|protein-coding	0.960	0.000	0.105
NR_049718	chr17	13967775	13972825	-	250.0	1	COX10-AS1|COX10-AS|COX10AS|-|17p12|ncRNA	7.964	1.792	2.108
NM_001300761	chr4	147862016	147867066	-	250.0	1	TTC29|NYD-SP14|TBPP2A|-|4q31.22|protein-coding	1.000	0.000	0.000
NM_014759	chr8	22084612	22089662	-	250.0	1	PHYHIP|DYRK1AP3|PAHX-AP|PAHXAP1|-|8p21.3|protein-coding	1.000	0.000	0.000
NR_110660	chr4	120720670	120725720	-	250.0	1	LINC01365|-|-|4q26|ncRNA	0.960	0.000	0.105
NR_047633	chrY	15587550	15592600	-	250.0	1	UTY|KDM6AL|KDM6C|UTY1|-|Yq11.221|protein-coding	1.000	0.000	0.000
NM_001128427	chr4	163080186	163085236	-	250.0	1	FSTL5|-|-|4q32.2|protein-coding	1.800	0.105	0.000
NR_029467	chr1	169672998	169678048	-	250.0	1	SELL|CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1|-|1q24.2|protein-coding	0.960	0.000	0.105
NM_004451	chr11	64072946	64077996	+	250.0	1	ESRRA|ERR1|ERRa|ERRalpha|ESRL1|NR3B1|-|11q13.1|protein-coding	2.081	1.160	9.382
NM_001320987	chr17	57179241	57184291	-	250.0	1	TRIM37|MUL|POB1|TEF3|-|17q22|protein-coding	2.800	1.160	6.325
NM_001244766	chr4	71768036	71773086	+	250.0	1	MOB1B|MATS2|MOB4A|MOBKL1A|-|4q13.3|protein-coding	5.032	1.581	4.006
NM_022037	chr2	70470760	70475810	-	250.0	1	TIA1|TIA-1|WDM|-|2p13.3|protein-coding	8.160	3.901	6.958
NM_001330766	chr19	53631173	53636223	-	250.0	1	ZNF415|Pact|ZfLp|-|19q13.42|protein-coding	1.000	0.000	0.000
NM_001346557	chr5	150226033	150231083	+	250.0	1	IRGM|IFI1|IRGM1|LRG-47|LRG47|-|5q33.1|protein-coding	0.960	0.000	0.105
NM_031275	chr11	112038045	112043095	+	250.0	1	TEX12|-|-|11q23.1|protein-coding	0.828	0.000	0.527
NR_036143	chr16	14995315	15000365	+	250.0	3	MIR3179-2|-|-|16p13.11|ncRNA	0.889	0.000	0.316
NR_045839	chr16	89551969	89557019	-	250.0	1	ANKRD11|ANCO-1|ANCO1|LZ16|T13|-|16q24.3|protein-coding	3.847	2.846	12.334
NR_038266	chr3	123304310	123309360	+	250.0	1	MYLK-AS1|-|-|3q21.1|ncRNA	2.703	1.160	6.641
NM_032434	chr2	27805859	27810909	+	250.0	1	ZNF512|-|-|2p23.3|protein-coding	3.778	2.108	8.855
NR_038932	chr10	34056608	34061658	-	250.0	1	LINC00838|-|-|10p11.22|ncRNA	1.000	0.000	0.000
NM_005671	chr8	30601631	30606681	+	250.0	1	UBXN8|D8S2298E|REP8|UBXD6|-|8p12|protein-coding	9.704	2.319	2.319
NR_038986	chr10	87337438	87342488	+	250.0	1	GRID1-AS1|-|-|10q23.1|ncRNA	0.923	0.000	0.211
NM_183421	chr8	356908	361958	+	250.0	1	FBXO25|FBX25|-|8p23.3|protein-coding	3.476	0.422	0.527
NM_001303530	chr18	12308190	12313240	+	250.0	1	TUBB6|FPVEPD|HsT1601|TUBB-5|-|18p11.21|protein-coding	2.733	0.949	5.060
NR_033950	chr12	121570629	121575679	+	250.0	1	P2RX7|P2X7|-|12q24.31|protein-coding	0.960	0.000	0.105
NR_148380	chr4	99580003	99585053	+	250.0	1	LOC105377342|-|-|4q23|ncRNA	0.774	0.000	0.738
NR_028483	chr22	24886042	24891092	-	250.0	1	ADORA2A-AS1|C22orf45|-|22q11.23|ncRNA	1.000	0.000	0.000
NR_149042	chr6	136388965	136394015	-	250.0	1	LOC644135|-|-|6q23.3|ncRNA	1.000	0.000	0.000
NM_182490	chr19	44716635	44721685	+	250.0	1	ZNF227|-|-|19q13.31|protein-coding	3.482	0.843	2.846
NM_001199173	chr16	2255405	2260455	+	250.0	1	MLST8|GBL|GbetaL|LST8|POP3|WAT1|-|16p13.3|protein-coding	1.010	1.265	24.036
NM_005664	chr15	23810771	23815821	+	250.0	1	MKRN3|CPPB2|D15S9|RNF63|ZFP127|ZNF127|-|15q11.2|protein-coding	0.923	0.000	0.211
NM_003218	chr8	73921049	73926099	+	250.0	1	TERF1|PIN2|TRBF1|TRF|TRF1|hTRF1-AS|t-TRF1|-|8q21.11|protein-coding	6.372	1.898	3.584
NM_001145716	chr6	36210895	36215945	+	250.0	1	PNPLA1|ARCI10|dJ50J22.1|-|6p21.31|protein-coding	0.960	0.000	0.105
NM_001177970	chr2	36923800	36928850	+	250.0	1	VIT|VIT1|-|2p22.2|protein-coding	1.000	0.000	0.000
NM_004003	chr9	131868072	131873122	-	250.0	1	CRAT|CAT|CAT1|NBIA8|-|9q34.11|protein-coding	4.440	0.843	1.687
NM_001286556	chr21	33784964	33790014	+	250.0	1	EVA1C|B18|B19|C21orf63|C21orf64|FAM176C|PRED34|SUE21|-|21q22.11|protein-coding	1.054	0.105	1.792
